packet_length,src_port,dst_port,protocol,timestamp
1514,80,57043,6,1741910942.4914813
1514,80,57043,6,1741910942.4941485
1514,80,57043,6,1741910942.4959273
54,57043,80,6,1741910942.4969559
1514,80,57043,6,1741910942.4983647
54,57043,80,6,1741910942.4993706
1514,80,57043,6,1741910942.5004714
1514,80,57043,6,1741910942.5025034
1514,80,57043,6,1741910942.5036578
1514,80,57043,6,1741910942.504824
54,57043,80,6,1741910942.5060961
1514,80,57043,6,1741910942.5071018
1514,80,57043,6,1741910942.5081625
54,57043,80,6,1741910942.5091705
1514,80,57043,6,1741910942.5101745
1514,80,57043,6,1741910942.5123053
1514,80,57043,6,1741910942.5123053
1514,80,57043,6,1741910942.5135813
1514,80,57043,6,1741910942.5157516
1514,80,57043,6,1741910942.5169392
54,57043,80,6,1741910942.5169392
1514,80,57043,6,1741910942.5184097
1514,80,57043,6,1741910942.5196645
1514,80,57043,6,1741910942.521679
1514,80,57043,6,1741910942.523059
54,57043,80,6,1741910942.523059
1514,80,57043,6,1741910942.5242915
1514,80,57043,6,1741910942.5253024
1514,80,57043,6,1741910942.5266242
1514,80,57043,6,1741910942.527731
54,57043,80,6,1741910942.5301266
1514,80,57043,6,1741910942.5301266
1514,80,57043,6,1741910942.5315628
1514,80,57043,6,1741910942.5325665
1514,80,57043,6,1741910942.5336611
54,57043,80,6,1741910942.5348277
1514,80,57043,6,1741910942.537326
1514,80,57043,6,1741910942.5383332
1514,80,57043,6,1741910942.5393372
1514,80,57043,6,1741910942.5406604
1514,80,57043,6,1741910942.5418496
54,57043,80,6,1741910942.5428543
1514,80,57043,6,1741910942.5455208
1514,80,57043,6,1741910942.546527
1514,80,57043,6,1741910942.5486271
1514,80,57043,6,1741910942.5496237
1514,80,57043,6,1741910942.550785
54,57043,80,6,1741910942.5534885
1514,80,57043,6,1741910942.55585
232,80,57043,6,1741910942.557882
54,57043,80,6,1741910942.557882
66,57046,443,6,1741910942.5598857
66,443,57046,6,1741910942.561115
54,57046,443,6,1741910942.562167
256,57046,443,6,1741910942.563217
54,443,57046,6,1741910942.563217
1466,443,57046,6,1741910942.5654116
1514,443,57046,6,1741910942.5654116
1514,443,57046,6,1741910942.5654116
498,443,57046,6,1741910942.5685222
54,57046,443,6,1741910942.570057
147,57046,443,6,1741910942.570057
365,443,57046,6,1741910942.570057
123,443,57046,6,1741910942.570057
54,57046,443,6,1741910942.570057
141,57046,443,6,1741910942.5777445
152,57046,443,6,1741910942.5787737
92,57046,443,6,1741910942.5801356
333,57046,443,6,1741910942.5801356
54,443,57046,6,1741910942.5816088
54,443,57046,6,1741910942.5832877
92,443,57046,6,1741910942.5852041
54,57046,443,6,1741910942.586483
222,443,57046,6,1741910942.7370467
162,443,57046,6,1741910942.739079
54,57046,443,6,1741910942.739079
100,57046,443,6,1741910942.7404313
54,57046,443,6,1741910942.7416382
60,443,57046,6,1741910942.7429516
54,57046,443,6,1741910942.7440653
66,57047,443,6,1741910942.7452528
66,443,57047,6,1741910942.7462568
54,57047,443,6,1741910942.747607
256,57047,443,6,1741910942.7487242
54,443,57047,6,1741910942.749973
1466,443,57047,6,1741910942.7640417
1514,443,57047,6,1741910942.7675824
1514,443,57047,6,1741910942.769734
498,443,57047,6,1741910942.7709727
54,57047,443,6,1741910942.772149
147,57047,443,6,1741910942.773227
365,443,57047,6,1741910942.7775254
123,443,57047,6,1741910942.778794
54,57047,443,6,1741910942.779867
141,57047,443,6,1741910942.7831144
152,57047,443,6,1741910942.7843742
92,57047,443,6,1741910942.7856162
296,57047,443,6,1741910942.7880967
54,443,57047,6,1741910942.7891068
54,443,57047,6,1741910942.7903185
92,443,57047,6,1741910942.7903185
54,57047,443,6,1741910942.8376925
418,63589,445,6,1741910942.999201
298,445,63589,6,1741910943.003789
146,63589,445,6,1741910943.005949
182,445,63589,6,1741910943.0070558
284,443,57047,6,1741910943.0137374
100,443,57047,6,1741910943.0149376
54,57047,443,6,1741910943.0160534
100,57047,443,6,1741910943.0170603
54,57047,443,6,1741910943.0181355
60,443,57047,6,1741910943.020475
54,57047,443,6,1741910943.020475
54,57043,80,6,1741910943.026378
54,57045,443,6,1741910943.028982
54,63589,445,6,1741910943.0565522
332,443,53438,6,1741910943.096693
126,53438,443,6,1741910943.1028466
54,443,53438,6,1741910943.1048472
78,52449,53,17,1741910943.5170605
137,53,52449,17,1741910943.5203435
243,138,138,17,1741910943.6644578
92,58266,137,17,1741910943.6694791
55,63694,443,6,1741910943.9975643
66,443,63694,6,1741910943.9975643
66,57048,443,6,1741910944.1844966
66,443,57048,6,1741910944.186582
54,57048,443,6,1741910944.1885355
1514,57048,443,6,1741910944.1895342
389,57048,443,6,1741910944.1905284
54,443,57048,6,1741910944.1925242
54,443,57048,6,1741910944.1935217
1466,443,57048,6,1741910944.3249102
1514,443,57048,6,1741910944.3249102
1514,443,57048,6,1741910944.340498
1514,443,57048,6,1741910944.340498
54,57048,443,6,1741910944.340498
1514,443,57048,6,1741910944.3452644
489,443,57048,6,1741910944.347265
118,57048,443,6,1741910944.3482645
300,57048,443,6,1741910944.3492603
54,443,57048,6,1741910944.3512535
54,443,57048,6,1741910944.3532493
591,443,57048,6,1741910944.421509
143,443,57048,6,1741910944.421509
88,443,57048,6,1741910944.421509
54,57048,443,6,1741910944.4284525
66,57051,8886,6,1741910945.5245407
66,57050,8886,6,1741910945.5255995
66,57053,8886,6,1741910945.526667
66,57052,8886,6,1741910945.5277934
66,57055,8886,6,1741910945.528298
66,57054,8886,6,1741910945.5299652
66,57049,8886,6,1741910945.5304723
66,57056,8886,6,1741910945.5314734
66,57057,8886,6,1741910945.53247
66,57058,8886,6,1741910945.533468
66,57059,8886,6,1741910945.534465
70,0,0,1,1741910945.5406148
66,57061,8886,6,1741910945.592671
66,57060,8886,6,1741910945.5936735
66,57063,8886,6,1741910945.6241755
66,57062,8886,6,1741910945.6251795
66,57064,8886,6,1741910945.6271782
66,57065,8886,6,1741910945.628169
217,49293,1900,17,1741910945.629167
177,17500,17500,17,1741910945.7248013
177,17500,17500,17,1741910945.742794
177,17500,17500,17,1741910945.743791
177,17500,17500,17,1741910945.744789
177,17500,17500,17,1741910945.7457857
177,17500,17500,17,1741910945.747065
55,63697,443,6,1741910945.839805
66,443,63697,6,1741910945.840803
82,5353,5353,17,1741910946.272067
103,5353,5353,17,1741910946.2750592
66,57050,8886,6,1741910946.536019
66,57052,8886,6,1741910946.5369735
66,57049,8886,6,1741910946.5380056
66,57054,8886,6,1741910946.5389698
66,57051,8886,6,1741910946.5399656
66,57055,8886,6,1741910946.5399656
66,57058,8886,6,1741910946.5419617
66,57057,8886,6,1741910946.542958
66,57056,8886,6,1741910946.5439558
66,57059,8886,6,1741910946.5459495
66,57053,8886,6,1741910946.546947
66,57060,8886,6,1741910946.6053348
66,57061,8886,6,1741910946.606333
66,57062,8886,6,1741910946.6279733
66,57063,8886,6,1741910946.6288557
66,57064,8886,6,1741910946.6288557
66,57065,8886,6,1741910946.6288557
217,49293,1900,17,1741910946.6418931
93,443,56964,6,1741910946.8425837
124,56964,443,6,1741910946.8523643
